abandon,"vt.放弃,遗弃;n.放任,狂热"
claw,"n.爪,脚爪;v.抓"
conflict,"n.斗争,冲突;vi.抵触,冲突"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
confront,"vt.使面临,对抗"
confuse,"vt.搞乱,使糊涂"
crawl,"vi.爬行,蠕动,徐徐行进;n.爬行,蠕动,缓慢的行进"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
confusion,"n.混乱,混淆"
create,"vt.创造,创作,引起,造成"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀"
congratulate,"vt.祝贺,庆贺,恭喜"
creative,adj.创造性的
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下"
congratulation,"n.祝词,贺辞"
creature,"n.人,动物,傀儡,创造物"
depression,"n.沮丧,消沉,低气压,低压"
congress,"n.(代表)大会,[C～](美国等国的)国会,议会"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款:vt.相信,信任,把...归给"
deputy,"n.代理人,代表"
conjunction,"n.联合,关联,连接词"
creep,"vi.爬,蹑手蹑脚,蔓延"
derive,vt.得自;vi.起源
connect,"v.连接,联合,关连"
crew,"n.全体人员,(工作)队;vbl.crow的过去式"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去"
connection,"n.连接,关系,接线,线路,亲戚"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
describe,"vt.描写,记述,形容,形容;v.描述"
connexion,"n.联系,连结"
criminal,"n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的"
deserve,"vt.应受,值得;v.应受"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思"
conquest,n.征服;n.战利品
critic,"n.批评家,评论家,吹毛求疵者"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
conscience,"n.良心,道德心"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
desire,"vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求"
conscious,"adj.有意识的,有知觉的,故意的,羞怯的"
criticism,"n.批评,批判"
despair,"n.绝望,失望,令人失望的人(事物);vi.绝望"
consent,"vi.同意,赞成,答应;n.同意,赞成,允诺"
criticize,"v.批评,责备"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
crossing,"v.横越;n.横越,交叉口"
despite,"prep.不管,尽管,不论"
consequently,"adv.从而,因此"
crowd,"n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满"
dessert,n.餐后甜点
conservation,"n.保存,保持,守恒"
crown,"n.王冠,花冠,顶;vt.加冕,顶上有,表彰,使圆满完成"
destination,"n.目的地,[计]目的文件,目的单元格"
conservative,"adj.保守的,守旧的;n.保守派"
crucial,adj.至关紧要的
destruction,"n.破坏,毁灭"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质"
detail,"n.细节,详情;vt.详述,细说"
considerate,adj.考虑周到的
cruise,"vi.巡游,巡航;n.巡游,巡航"
detect,"vt.察觉,发觉,侦查,探测;v.发现"
consideration,"n.体谅,考虑,需要考虑的事项,报酬"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
detection,"n.察觉,发觉,侦查,探测,发现"
consist,"vi.由...组成,在于,一致"
crust,"n.外壳,硬壳,面包皮;vt.盖以硬皮;vi.结硬皮"
detective,n.侦探;adj.侦探的
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
crystal,"adj.结晶状的;n.水晶,水晶饰品,结晶,晶体"
determination,"n.决心,果断"
constant,"n.[数、物]常数,恒量;adj.不变的,持续的,坚决的"
cube,"n.立方体,立方"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
constitute,"vt.制定(法律),建立(政府),组成,任命"
cue,"n.暗示,提示,球杆"
device,"n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
cultivate,"vt.培养,耕作"
devil,"n.魔鬼,恶棍"
construct,"vt.建造,构造,创立"
culture,"n.文化,文明"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠"
construction,"n.建筑,建筑物,解释,造句"
cupboard,"n.食橱,碗碟橱"
devote,"vt.投入于,献身"
consult,"v.商量,商议,请教,参考,考虑"
curiosity,n.好奇心
diagram,n.图表
consultant,"n.顾问,商议者,咨询者"
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
dialect,"n.方言,语调"
consume,"vt.消耗,消费,消灭,大吃大喝,吸引;vi.消灭,毁灭"
curl,v.(使)卷曲
diameter,n.直径
consumer,n.消费者
currency,n.流通
dictate,"v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)"
consumption,"n.消费,消费量,肺病"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流"
dictation,"n.听写,口述"
contact,"n.接触,联系;vt.接触,联系"
curriculum,n.课程
differ,"vi.不一致,不同"
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
curse,"n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪"
digest,"n.分类,摘要;vi.消化;vt.消化,融会贯通"
contemporary,"n.同时代的人;adj.当代的,同时代的"
curtain,"n.窗帘,门帘;v.装上门帘"
digital,"adj.数字的,数位的,手指的;n.数字,数字式"
contest,"n.论争,竞赛:v.,争论,争辩,竞赛,争夺"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表;vt.弯,使弯曲;vi.成曲形"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子"
continual,"adj.连续的,频繁的,持续不断的"
cushion,"n.垫子,软垫,衬垫;v.加衬垫"
dimension,"n.尺寸,尺度,维(数),度(数),元"
continuous,"adj.连续的,持续的"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转"
dip,"v.浸,蘸,沾"
contract,"n.合同,契约,婚约;v.使缩短,感染,订约"
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
diplomatic,"adj.外交的,老练的"
contradiction,"n.反驳,矛盾"
dam,"n.水坝,障碍;v.控制,筑坝"
directly,"adv.直接地,立即"
contrary,"adj.相反的,逆的,<口语>执拗;n.反面;adv.相反地"
damn,v.谴责
dirt,"n.污垢,泥土"
contrast,"vt.使与...对比,使与...对照;vi.和...形成对照;n.对比,对照,(对照中的)差异"
damp,"n.湿气;adj.潮湿的;vt.使潮湿,阻尼,使衰减,使沮丧,控制,抑止"
disappear,"vi.消失,不见"
contribute,"v.捐助,捐献,贡献,投稿"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲;vi.猛掷,冲撞;vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
disaster,"n.灾难,天灾,灾祸"
contribution,"n.捐献,贡献,投稿"
data,"n.datum的复数,[计]资料,数据"
discard,"vt.丢弃,抛弃;v.放弃"
controversial,"adj.争论的,争议的"
daylight,"n.日光,白昼,白天"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),射(箭);vi.卸货,流注;n.卸货,流出,放电"
controversy,"n.论争,辩论,论战"
deadline,n.最终期限
discipline,"n.纪律,学科;v.训练"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
deaf,adj.聋的
discount,n.折扣
convention,"n.大会,协定,习俗,惯例"
debate,"v.争论,辩论;n.争论,辩论"
discourage,"vt.使气馁,阻碍"
conventional,"adj.惯例的,常规的,习俗的,传统的"
debt,"n.债务,罪过"
disease,"n.疾病,弊病"
conversely,"adv.倒地,逆地"
decade,"n.十年,十"
disguise,"v.假装,伪装,掩饰;n.伪装"
convert,"n.皈依者;vt.使转变,转换...,使...改变信仰"
decay,"vi.腐朽,腐烂,衰减,衰退;n.腐朽,腐烂,衰减,衰退;v.衰落"
disgust,"n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕"
convey,"vt.搬运,传达,转让"
deceive,"v.欺骗,行骗"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开;vi.解散"
convict,"vt.证明...有罪,宣告...有罪;n.罪犯"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的"
disorder,"n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱"
conviction,"n.深信,确信,定罪,宣告有罪"
deck,"n.甲板,舰板,覆盖物,一副(纸牌);vt.装饰,修饰,打扮,装甲板"
display,"vt.陈列,展览,显示;n.陈列,展览,显示,显示,显示器"
convince,"vt.使确信,使信服"
declaration,"n.宣布,宣言,声明"
disposal,"n.处理,处置,布置,安排,配置,支配"
cooperate,"vi.合作,协作"
decline,"vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
dispose,"v.处理,处置,部署;vt.布置,安排,除去,使愿意"
coordinate,"n.同等者,同等物,坐标(用复数);adj.同等的,并列的;vt.调整,整理"
decorate,"v.装饰,为...做室内装修"
dispute,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等);n.争论,辩论,争吵"
cop,"n.警官,巡警,[纺]管纱;vt.抓住"
decrease,"n.减少,减少之量;v.减少"
dissolve,"v.溶解,解散"
cope,"vi.(善于)应付,(善于)处理"
defeat,"n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败"
distinct,"adj.清楚的,明显的,截然不同的,独特的"
copper,"n.铜,警察"
defect,"n.过失,缺点"
distinction,"n.区别,差别,级别,特性,声望,显赫"
copyright,"n.版权,著作权"
define,"vt.定义,详细说明"
distinguish,"v.区别,辨别"
cord,"n.绳索,束缚"
definite,"adj.明确的,一定的"
distress,"n.悲痛,穷困,不幸,危难,忧伤;v.使悲痛,使穷困,使忧伤"
core,"n.果核,中心,核心"
definitely,"adv.明确地,干脆地"
distribute,"vt.分发,分配,散布,分布,分类,分区;v.分发"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行"
correspond,"vi.符合,协调,通信,相当,相应"
delegate,n.代表;vt.委派...为代表
disturb,"vt.弄乱,打乱,打扰,扰乱;v.扰乱"
correspondence,"n.相应,通信,信件"
delete,vt.删除
ditch,"n.沟,沟渠,壕沟"
correspondent,"n.通讯记者,通信者"
deliberate,"adj.深思熟虑的,故意的,预有准备的;v.商讨"
dive,"vi.潜水,跳水,下潜,俯冲;n.潜水,跳水,下潜,俯冲"
corresponding,"adj.相应的,通讯的"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
diverse,"adj.不同的,变化多的"
corridor,n.走廊
delicious,adj.美味的
divide,"v.分,划分,分开,隔开"
costly,"adj.昂贵的,贵重的"
delivery,"n.递送,交付,分娩,交货,引渡;n.[律]财产等的正式移交,发送,传输"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子"
demand,"n.要求,需求(量),需要;v.要求,需要,要求知道,查询"
divorce,"n.离婚,脱离;vt.使离婚,与...脱离"
counsel,"n.讨论,商议,辩护律师;vt.劝告,忠告"
democracy,"n.民主政治,民主主义"
document,"n.公文,文件,文档,档案,文献;v.证明"
counter,"n.计算器,计数器,计算者,柜台,筹码;adv.&prep.相反地"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
county,"n.县,郡"
demonstrate,"vt.示范,证明,论证;vi.示威"
dominant,"adj.有统治权的,占优势的,支配的;adj.[生物]显性的"
court,"n.法院,庭院,宫庭,球场,奉承,求爱,殷勤;vt.向...献殷勤,设法获得(他人支持),博得(喝彩),招致(失败,危险等);vi.求爱"
dense,"adj.密集的,浓厚的"
dominate,"v.支配,占优势"
courtyard,"n.庭院,院子"
density,n.密度
donation,"n.捐赠品,捐款,贡献"
crack,"n.裂缝,噼啪声;v.(使)破裂,裂纹,(使)爆裂;adj.最好的,高明的"
dental,adj.牙齿的
donkey,"n.驴子,笨蛋,顽固者,(=donkeyengine)轻便发动机,(=donkeypump)辅助泵"
craft,"n.工艺,手艺"
deny,"v.否认,拒绝"
dorm,n.<俗>宿舍(=dormitory)
crane,n.起重机
depart,"vi.离开,起程,不按照,逝世;adj.过去的,逝世的"
dormitory,n.宿舍
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声;v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
departure,"n.启程,出发,离开"
dose,"n.剂量,(一)剂,(一)服;v.(给...)服药"
dot,"n.点,圆点,园点;vt.在...上打点"
engine,"n.发动机,机车,火车头"
extreme,"adj.尽头的,极端的,极度的,偏激的,最后的;n.极端,极端的事物"
doubtful,"adj.可疑的,不确的,疑心的"
engineering,n.工程(学)
eyesight,"n.视力,目力"
downward,adj.向下的
enhance,"vt.提高,增强;v.提高"
fabric,"n.织品,织物,布,结构,建筑物,构造"
draft,"n.草稿,草案,草图;vt.起草,为...打样,设计;v.草拟"
enlarge,"v.扩大,放大"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
drag,"v.拖,拖曳,缓慢而费力地行动;n.拖拉"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
factor,"n.因素,要素,因数,代理人"
dragon,"n.龙,凶暴的人,严厉而有警觉性的女人"
enquire,v.询问
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
drain,"n.排水沟,消耗,排水;vt.排出沟外,喝干,耗尽;vi.排水,流干"
enquiry,n.询问
fade,"vi.(声音等)减弱下去,褪色,消失,枯萎,凋谢;vt.使褪色;n.淡入,淡出;adj.乏味的,平淡的"
drama,"n.(在舞台上演的)戏剧,戏剧艺术"
ensure,"vt.保证,担保,使安全,保证得到;v.确保,确保,保证"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
dramatic,"adj.戏剧性的,生动的"
entertain,"vt.娱乐,招待,接受,怀抱;vi.款待"
faint,"n.昏晕,昏倒;adj.虚落地,衰弱的,软弱的,无力的,微弱的,暗淡的,模糊的;vi.昏晕,昏倒,变得微弱,变得没气力"
draught,"n.拖,拉,一网(鱼),气流"
entertainment,"n.款待,娱乐,娱乐表演"
fairly,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
drawer,"n.抽屉,画家,制图员,(用复数)衬裤、内裤"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
fairy,"n.仙女,精灵,<美俚>漂亮姑娘;adj.仙女的"
drift,"n.冲洗,漂流物,观望,漂流;v.(使)漂流"
entire,"adj.全部的,完整的,整个"
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
drill,"n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机;v.训练,钻孔,条播"
entitle,"vt.给...权利(或资格),给...题名,给...称号;v.授权,授权"
faithful,"adj.守信的,忠实的,详确的,可靠的;n.信徒"
drip,n.水滴;v.(使)滴下
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
fame,"n.名声,名望,传说,<古>传闻;vt.(常用被动语态)使闻名,使有名望,盛传"
drum,"n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室;vi.击鼓,作鼓声;vt.打鼓奏"
environment,"n.环境,外界"
famine,"n.饥荒,<古>饥饿,严重的缺乏"
drunk,adj.喝醉了的;vbl.drink的过去分词
envy,"n.&vt.羡慕,嫉妒"
fancy,"adj.奇特的,异样的;vt.想象,设想,认为,爱好,自负;n.爱好,迷恋,想象力"
dull,"adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的;vt.使迟钝,使阴暗,缓和;vi.变迟钝,减少"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
dumb,"adj.哑的,无说话能力的,不说话的,无声音的"
equality,"n.等同性,同等,平等,相等,等式"
fantasy,"n.幻想,白日梦"
dump,"vt.倾倒(垃圾),倾卸;n.堆存处"
equation,"n.相等,平衡,综合体,因素,方程式,等式"
fare,"n.费用,旅客,食物;vi.遭遇,进展,进步,经营,过活"
durable,"adj.持久的,耐用的"
equip,"vt.装备,配备,训练,准备行装"
farewell,"n.辞别,再见,再会;int.再会,别了!(常含有永别或不容易再见面的意思)"
duration,"n.持续时间,为期"
equivalent,"adj.相等的,相当的,同意义的;n.等价物,相等物"
fascinating,"adj.迷人的,醉人的,着魔的"
dusk,"n.薄暮,黄昏"
era,"n.时代,纪元,时期,[地]代"
fashion,"n.样子,方式,流行,风尚,时样;vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变"
dye,"n.染料,染色;vt.染;v.染"
erect,"adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起"
fashionable,"adj.流行的,时髦的"
dynamic,"adj.动力的,动力学的,动态的"
error,"n.错误,过失,误差"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于;vi.扣紧,抓住"
eagle,"n.鹰,鹰状标饰"
essay,"vt.企图,尝试;n.企图,散文,小品文,随笔,短文,评论"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
earnest,"adj.认真的,热心的,重要的n.真挚,定金,认真,热心"
essential,"adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点"
fate,"n.天数,命运,运气;vt.注定,送命"
earthquake,"n.地震,[喻]在震荡,在变动"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定;v.建立"
fatigue,"n.疲乏,疲劳,累活,[军]杂役;vt.使疲劳,使心智衰弱;vi.疲劳"
ease,"n.安逸,安心,不费力,悠闲;vt.使悠闲,使安心,减轻,放松;vi.减弱,减轻,放松,灵活地移动"
establishment,"n.确立,制定,设施,公司,军事组织"
faulty,"adj.有过失的,有缺点的,不完美的,不完善的"
echo,"n.回声,回音,回波;vi.发回声,随声附和;vt.摹仿,重复,反射;[计]禁止(或允许)在屏上显示批处理命令行"
estate,"n.状态,不动产,时期,阶层,财产"
favour,"n.亲切,宠爱"
economic,"adj.经济(上)的,产供销的,经济学的"
estimate,"v.估计,估价,评估;n.估计,估价,评估"
favourable,"adj.赞成的,称许的,有利的,顺利的;n.有利"
economical,"adj.节约的,经济的"
evaluate,"vt.评价,估计,求...的值;v.评价"
favourite,"adj.特别喜爱的,中意的;n.特别喜爱的(或物)"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
eve,"n.[诗]黄昏,前夕,前日"
fearful,"adj.可怕的,吓人的,恐怕的,严重的"
edition,"n.版本,版"
event,"n.事件,事变,结果,活动,精力,竞赛"
feasible,"adj.可行的,切实可行的"
editor,"n.编辑,编辑器,编者"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
feather,"n.翎毛,轻的东西,羽毛;vi.长羽毛;vt.用羽毛装饰,射掉(飞禽)的羽毛"
editorial,"n.社论;adj.编辑上的,主笔的,社论的"
evident,"adj.明显的,显然的"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写;vt.是...的特色,特写,放映;vi.起重要作用"
educate,"vt.教育,训练,培养;v.教育"
evidently,"adv.明显地,显然"
federal,"adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员,连邦软件公司,国内正版软件商"
effective,"adj.有效的,被实施的,给人深刻印象,有生力量"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶"
fee,"n.费(会费、学费等),酬金"
efficiency,"n.效率,功效"
evolution,"n.进展,发展,演变,进化"
feedback,"n.[无]回授,反馈,反应"
efficient,"adj.(直接)生效的,有效率的,能干的"
evolve,"v.(使)发展,(使)进展,(使)进化"
female,"n.女性,女人,雌兽;adj.女性的,女子的,妇女的,雌的,柔弱的,(声,色)柔和的"
effort,"n.努力,成就"
exact,"adj.精确的,准确的,原样的,精密的,严格;vt.强求,急需,要求"
fertile,"adj.肥沃的,富饶的,能繁殖的"
elaborate,"adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述"
exaggerate,"v.夸大,夸张"
fertilizer,"n.肥料(尤指化学肥料),[动]受精媒介物"
elastic,adj.弹性的
exceed,"vt.超越,胜过;vi.超过其他"
festival,"n.节日,喜庆日,音乐节,戏剧节,喜庆,欢宴,欢乐;adj.节日的,快乐的"
elbow,n.肘
exceedingly,"adv.非常地,极度地"
fibre,"n.纤维,构造,纤维制品,[植]须根"
elderly,"adj.过了中年的,稍老的"
exception,"n.除外,例外,反对,异议"
fiction,"n.虚构,编造,小说"
elect,"vt.选举,推选;v.选择,作出选择,选举,选举,选举"
excess,"n.过度,剩于,无节制,超过,超额;adj.过度的,额外的"
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
election,"n.选举,当选,选择权,[宗]上帝的选拔"
excessive,"adj.过多的,过分的,额外"
figure,"n.外形,轮廓,体形,图形,画像,数字,形状,身份;vt.描绘,塑造,表示,象征,演算,认为;vi.出现,考虑,出名,扮演角色"
electric,"adj.电的,导电的,电动的,电气"
exchange,"vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易"
filter,"n.滤波器,过滤器,滤光器,筛选;vt.过滤,渗透,用过滤法除去;vi.滤过,渗入,(消息等)走漏,慢慢传开"
electrical,"adj.电的,有关电的"
excitement,"n.刺激,兴奋,激动,搔动"
finally,"adv.最后,终于,不可更改地,决定性地"
electricity,"n.电流,电,电学"
exclaim,"v.呼喊,惊叫,大声叫"
finance,"n.财政,金融,财政学;vt.供给...经费,负担经费;vi.筹措资金"
electron,n.电子
exclude,"vt.拒绝接纳,把...排除在外,排斥"
financial,"adj.财政的,金融的"
electronic,adj.电子的
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
finding,"n.发现,发现物,决定,[律]裁决"
elegant,"adj.文雅的,端庄的,雅致的,<口>上品的,第一流的"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
fireman,"n.救火队员,消防队员"
element,"n.要素,元素,成分,元件,自然环境"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
fisherman,"n.渔民,渔夫"
elementary,"adj.初步的,基本的,[化]元素的,自然力的"
executive,"adj.实行的,执行的,行政的;n.执行者,经理主管人员"
flame,"n.火焰,光辉,光芒,热情,激情"
elevator,"n.电梯,升降机,[空]升降舵"
exert,"vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽"
flash,"[计]动画编辑工具;n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
eliminate,"vt.排除,消除;v.除去"
exhaust,"vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的"
flat,"adj.平坦的,单调的,浅的,干脆的,无聊的,无力的;adv.平直地,仰卧地,正好,断然地;n.平面,平地,一层,公寓;v.变平,降半音"
elsewhere,adv.在别处
exhibit,"vt.展出,陈列;n.展览品,陈列品,展品;v.展示"
flee,"vt.逃避,逃跑,逃走;vi.消散,逃,消失"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
existence,"n.存在,实在,生活,存在物,实在物"
fleet,"n.舰队(有固定活动地区舰队),港湾,小河;adj.快速的,敏捷的,浅的;adv.浅;vt.消磨;vi.疾驰,飞逝,掠过"
embassy,"n.大使及其随员,大使的派遣,大使馆"
expand,"vt.使膨胀,详述,扩张;vi.张开,发展"
flesh,"n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体;vt.以肉喂(猎犬等),使肥,赋以血肉;vi.长胖"
embrace,"vt.拥抱,互相拥抱,包含,收买,信奉;vi.拥抱;n.拥抱"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
float,"n.漂流物,浮舟,浮萍,彩车;vi.浮动,飘浮,散播,摇摆,动摇(计划等)付诸实行;vt.使漂浮,容纳,淹没,发行,实行,用水注满"
